Trial:,Age:,Gender:,Inclusion Criteria:,Exclusion Criteria:
Liver Transplantation for Unresectable Intrahepatic Colangiocarcinoma After Sustained Response to Neoadjuvant Treatments,18 Years to 70 Years,All,"Histological diagnosis of iCCA (biopsy-proven tumor)
Either first diagnosis or post-resection recurrence (occurring ≥ 6 months after resection)
Unresectability assessment due to tumor location (leading to insufficient live remnant with/out implementation of hypertrophic parenchymal techniques) or underlying liver disease. Non-resectability assessed by an expert surgical team with experience on both resection and transplantation (centralized at INT Milan).
Age between 18 and 70 years
No macrovascular tumor invasion (NB: portal vein and/or hepatic vein occlusion from the external tumor compression and classified as ""encasement"" could be considered after expert radiology review)
No extrahepatic spread
Disease stability for at least 6 months
CA 19-9 < 200 u/ml at transplant listing in absence of jaundice
No medical and surgical contraindications to liver transplantation
Good performance status, Eastern Cooperative Oncology Group (ECOG) 0 or 1
No concomitant malignancies or history of other malignancies in the previous 5 years
Written informed consent","Hilar and distal cholangiocarcinoma
Progression of disease under chemotherapy +/- radiation therapy, assessed with either RECIST, mRECIST or Choi criteria
Evidence of lymph-nodal metastases
Evidence of extrahepatic disease
Prior extrahepatic metastatic disease
Concomitant malignancies or history of other malignancies in the previous 5 years
Substance abuse, medical, psychological, or social conditions that may interfere with the patient's participation in the study or evaluation of the study results
Any reason why, in the opinion of the investigator, the patient should not participate to the study"
Effect of Chest Physiotherapy on Clinical Outcome of Infants With Bronchiolitis,18 Years to 70 Years,All,"Histological diagnosis of iCCA (biopsy-proven tumor)
Either first diagnosis or post-resection recurrence (occurring ≥ 6 months after resection)
Unresectability assessment due to tumor location (leading to insufficient live remnant with/out implementation of hypertrophic parenchymal techniques) or underlying liver disease. Non-resectability assessed by an expert surgical team with experience on both resection and transplantation (centralized at INT Milan).
Age between 18 and 70 years
No macrovascular tumor invasion (NB: portal vein and/or hepatic vein occlusion from the external tumor compression and classified as ""encasement"" could be considered after expert radiology review)
No extrahepatic spread
Disease stability for at least 6 months
CA 19-9 < 200 u/ml at transplant listing in absence of jaundice
No medical and surgical contraindications to liver transplantation
Good performance status, Eastern Cooperative Oncology Group (ECOG) 0 or 1
No concomitant malignancies or history of other malignancies in the previous 5 years
Written informed consent","Hilar and distal cholangiocarcinoma
Progression of disease under chemotherapy +/- radiation therapy, assessed with either RECIST, mRECIST or Choi criteria
Evidence of lymph-nodal metastases
Evidence of extrahepatic disease
Prior extrahepatic metastatic disease
Concomitant malignancies or history of other malignancies in the previous 5 years
Substance abuse, medical, psychological, or social conditions that may interfere with the patient's participation in the study or evaluation of the study results
Any reason why, in the opinion of the investigator, the patient should not participate to the study"
Impact of a Community-Based Primary Health Care Project on the Inappropriate Use of Emergency Medical System in Bergamo,18 Years to 70 Years,All,"Histological diagnosis of iCCA (biopsy-proven tumor)
Either first diagnosis or post-resection recurrence (occurring ≥ 6 months after resection)
Unresectability assessment due to tumor location (leading to insufficient live remnant with/out implementation of hypertrophic parenchymal techniques) or underlying liver disease. Non-resectability assessed by an expert surgical team with experience on both resection and transplantation (centralized at INT Milan).
Age between 18 and 70 years
No macrovascular tumor invasion (NB: portal vein and/or hepatic vein occlusion from the external tumor compression and classified as ""encasement"" could be considered after expert radiology review)
No extrahepatic spread
Disease stability for at least 6 months
CA 19-9 < 200 u/ml at transplant listing in absence of jaundice
No medical and surgical contraindications to liver transplantation
Good performance status, Eastern Cooperative Oncology Group (ECOG) 0 or 1
No concomitant malignancies or history of other malignancies in the previous 5 years
Written informed consent","Hilar and distal cholangiocarcinoma
Progression of disease under chemotherapy +/- radiation therapy, assessed with either RECIST, mRECIST or Choi criteria
Evidence of lymph-nodal metastases
Evidence of extrahepatic disease
Prior extrahepatic metastatic disease
Concomitant malignancies or history of other malignancies in the previous 5 years
Substance abuse, medical, psychological, or social conditions that may interfere with the patient's participation in the study or evaluation of the study results
Any reason why, in the opinion of the investigator, the patient should not participate to the study"
"Study on Eating Habits and Association with ""omic"" Profiles in Families with a Subject Affected by a Chronic Immune-mediated Inflammatory Pathology. Observational Multicenter Study.",18 Years to 70 Years,All,"Histological diagnosis of iCCA (biopsy-proven tumor)
Either first diagnosis or post-resection recurrence (occurring ≥ 6 months after resection)
Unresectability assessment due to tumor location (leading to insufficient live remnant with/out implementation of hypertrophic parenchymal techniques) or underlying liver disease. Non-resectability assessed by an expert surgical team with experience on both resection and transplantation (centralized at INT Milan).
Age between 18 and 70 years
No macrovascular tumor invasion (NB: portal vein and/or hepatic vein occlusion from the external tumor compression and classified as ""encasement"" could be considered after expert radiology review)
No extrahepatic spread
Disease stability for at least 6 months
CA 19-9 < 200 u/ml at transplant listing in absence of jaundice
No medical and surgical contraindications to liver transplantation
Good performance status, Eastern Cooperative Oncology Group (ECOG) 0 or 1
No concomitant malignancies or history of other malignancies in the previous 5 years
Written informed consent","Hilar and distal cholangiocarcinoma
Progression of disease under chemotherapy +/- radiation therapy, assessed with either RECIST, mRECIST or Choi criteria
Evidence of lymph-nodal metastases
Evidence of extrahepatic disease
Prior extrahepatic metastatic disease
Concomitant malignancies or history of other malignancies in the previous 5 years
Substance abuse, medical, psychological, or social conditions that may interfere with the patient's participation in the study or evaluation of the study results
Any reason why, in the opinion of the investigator, the patient should not participate to the study"
A Weight Loss Study Evaluating Subcutaneous Treatment With AZD9550 and AZD6234 in Combination Against Placebo or Each of the Drugs Alone,18 Years to 70 Years,All,"Histological diagnosis of iCCA (biopsy-proven tumor)
Either first diagnosis or post-resection recurrence (occurring ≥ 6 months after resection)
Unresectability assessment due to tumor location (leading to insufficient live remnant with/out implementation of hypertrophic parenchymal techniques) or underlying liver disease. Non-resectability assessed by an expert surgical team with experience on both resection and transplantation (centralized at INT Milan).
Age between 18 and 70 years
No macrovascular tumor invasion (NB: portal vein and/or hepatic vein occlusion from the external tumor compression and classified as ""encasement"" could be considered after expert radiology review)
No extrahepatic spread
Disease stability for at least 6 months
CA 19-9 < 200 u/ml at transplant listing in absence of jaundice
No medical and surgical contraindications to liver transplantation
Good performance status, Eastern Cooperative Oncology Group (ECOG) 0 or 1
No concomitant malignancies or history of other malignancies in the previous 5 years
Written informed consent","Hilar and distal cholangiocarcinoma
Progression of disease under chemotherapy +/- radiation therapy, assessed with either RECIST, mRECIST or Choi criteria
Evidence of lymph-nodal metastases
Evidence of extrahepatic disease
Prior extrahepatic metastatic disease
Concomitant malignancies or history of other malignancies in the previous 5 years
Substance abuse, medical, psychological, or social conditions that may interfere with the patient's participation in the study or evaluation of the study results
Any reason why, in the opinion of the investigator, the patient should not participate to the study"
Effect of Reduced Vasopressors on Mortality in ECMO-supported Cardiogenic Shock Patients,18 Years to 70 Years,All,"Histological diagnosis of iCCA (biopsy-proven tumor)
Either first diagnosis or post-resection recurrence (occurring ≥ 6 months after resection)
Unresectability assessment due to tumor location (leading to insufficient live remnant with/out implementation of hypertrophic parenchymal techniques) or underlying liver disease. Non-resectability assessed by an expert surgical team with experience on both resection and transplantation (centralized at INT Milan).
Age between 18 and 70 years
No macrovascular tumor invasion (NB: portal vein and/or hepatic vein occlusion from the external tumor compression and classified as ""encasement"" could be considered after expert radiology review)
No extrahepatic spread
Disease stability for at least 6 months
CA 19-9 < 200 u/ml at transplant listing in absence of jaundice
No medical and surgical contraindications to liver transplantation
Good performance status, Eastern Cooperative Oncology Group (ECOG) 0 or 1
No concomitant malignancies or history of other malignancies in the previous 5 years
Written informed consent","Hilar and distal cholangiocarcinoma
Progression of disease under chemotherapy +/- radiation therapy, assessed with either RECIST, mRECIST or Choi criteria
Evidence of lymph-nodal metastases
Evidence of extrahepatic disease
Prior extrahepatic metastatic disease
Concomitant malignancies or history of other malignancies in the previous 5 years
Substance abuse, medical, psychological, or social conditions that may interfere with the patient's participation in the study or evaluation of the study results
Any reason why, in the opinion of the investigator, the patient should not participate to the study"
Clinical Trial of Mexiletine Hydrochloride for Spinal and Bulbar Muscular Atrophy,18 Years to 70 Years,All,"Histological diagnosis of iCCA (biopsy-proven tumor)
Either first diagnosis or post-resection recurrence (occurring ≥ 6 months after resection)
Unresectability assessment due to tumor location (leading to insufficient live remnant with/out implementation of hypertrophic parenchymal techniques) or underlying liver disease. Non-resectability assessed by an expert surgical team with experience on both resection and transplantation (centralized at INT Milan).
Age between 18 and 70 years
No macrovascular tumor invasion (NB: portal vein and/or hepatic vein occlusion from the external tumor compression and classified as ""encasement"" could be considered after expert radiology review)
No extrahepatic spread
Disease stability for at least 6 months
CA 19-9 < 200 u/ml at transplant listing in absence of jaundice
No medical and surgical contraindications to liver transplantation
Good performance status, Eastern Cooperative Oncology Group (ECOG) 0 or 1
No concomitant malignancies or history of other malignancies in the previous 5 years
Written informed consent","Hilar and distal cholangiocarcinoma
Progression of disease under chemotherapy +/- radiation therapy, assessed with either RECIST, mRECIST or Choi criteria
Evidence of lymph-nodal metastases
Evidence of extrahepatic disease
Prior extrahepatic metastatic disease
Concomitant malignancies or history of other malignancies in the previous 5 years
Substance abuse, medical, psychological, or social conditions that may interfere with the patient's participation in the study or evaluation of the study results
Any reason why, in the opinion of the investigator, the patient should not participate to the study"
Nordic Consortium for Acute Type a Aortic Dissection-2,18 Years to 70 Years,All,"Histological diagnosis of iCCA (biopsy-proven tumor)
Either first diagnosis or post-resection recurrence (occurring ≥ 6 months after resection)
Unresectability assessment due to tumor location (leading to insufficient live remnant with/out implementation of hypertrophic parenchymal techniques) or underlying liver disease. Non-resectability assessed by an expert surgical team with experience on both resection and transplantation (centralized at INT Milan).
Age between 18 and 70 years
No macrovascular tumor invasion (NB: portal vein and/or hepatic vein occlusion from the external tumor compression and classified as ""encasement"" could be considered after expert radiology review)
No extrahepatic spread
Disease stability for at least 6 months
CA 19-9 < 200 u/ml at transplant listing in absence of jaundice
No medical and surgical contraindications to liver transplantation
Good performance status, Eastern Cooperative Oncology Group (ECOG) 0 or 1
No concomitant malignancies or history of other malignancies in the previous 5 years
Written informed consent","Hilar and distal cholangiocarcinoma
Progression of disease under chemotherapy +/- radiation therapy, assessed with either RECIST, mRECIST or Choi criteria
Evidence of lymph-nodal metastases
Evidence of extrahepatic disease
Prior extrahepatic metastatic disease
Concomitant malignancies or history of other malignancies in the previous 5 years
Substance abuse, medical, psychological, or social conditions that may interfere with the patient's participation in the study or evaluation of the study results
Any reason why, in the opinion of the investigator, the patient should not participate to the study"
"Impact of an Intervention Education Program on the Knowledge, Attitudes, and Practices of Dietitians",18 Years to 70 Years,All,"Histological diagnosis of iCCA (biopsy-proven tumor)
Either first diagnosis or post-resection recurrence (occurring ≥ 6 months after resection)
Unresectability assessment due to tumor location (leading to insufficient live remnant with/out implementation of hypertrophic parenchymal techniques) or underlying liver disease. Non-resectability assessed by an expert surgical team with experience on both resection and transplantation (centralized at INT Milan).
Age between 18 and 70 years
No macrovascular tumor invasion (NB: portal vein and/or hepatic vein occlusion from the external tumor compression and classified as ""encasement"" could be considered after expert radiology review)
No extrahepatic spread
Disease stability for at least 6 months
CA 19-9 < 200 u/ml at transplant listing in absence of jaundice
No medical and surgical contraindications to liver transplantation
Good performance status, Eastern Cooperative Oncology Group (ECOG) 0 or 1
No concomitant malignancies or history of other malignancies in the previous 5 years
Written informed consent","Hilar and distal cholangiocarcinoma
Progression of disease under chemotherapy +/- radiation therapy, assessed with either RECIST, mRECIST or Choi criteria
Evidence of lymph-nodal metastases
Evidence of extrahepatic disease
Prior extrahepatic metastatic disease
Concomitant malignancies or history of other malignancies in the previous 5 years
Substance abuse, medical, psychological, or social conditions that may interfere with the patient's participation in the study or evaluation of the study results
Any reason why, in the opinion of the investigator, the patient should not participate to the study"
Kegg Fertility Study,18 Years to 70 Years,All,"Histological diagnosis of iCCA (biopsy-proven tumor)
Either first diagnosis or post-resection recurrence (occurring ≥ 6 months after resection)
Unresectability assessment due to tumor location (leading to insufficient live remnant with/out implementation of hypertrophic parenchymal techniques) or underlying liver disease. Non-resectability assessed by an expert surgical team with experience on both resection and transplantation (centralized at INT Milan).
Age between 18 and 70 years
No macrovascular tumor invasion (NB: portal vein and/or hepatic vein occlusion from the external tumor compression and classified as ""encasement"" could be considered after expert radiology review)
No extrahepatic spread
Disease stability for at least 6 months
CA 19-9 < 200 u/ml at transplant listing in absence of jaundice
No medical and surgical contraindications to liver transplantation
Good performance status, Eastern Cooperative Oncology Group (ECOG) 0 or 1
No concomitant malignancies or history of other malignancies in the previous 5 years
Written informed consent","Hilar and distal cholangiocarcinoma
Progression of disease under chemotherapy +/- radiation therapy, assessed with either RECIST, mRECIST or Choi criteria
Evidence of lymph-nodal metastases
Evidence of extrahepatic disease
Prior extrahepatic metastatic disease
Concomitant malignancies or history of other malignancies in the previous 5 years
Substance abuse, medical, psychological, or social conditions that may interfere with the patient's participation in the study or evaluation of the study results
Any reason why, in the opinion of the investigator, the patient should not participate to the study"
